ID,Vareflyt,År,Måned,Varenr,Landkode,Mengde,Verdi
276741,Eksport,2019,4,03044100,GB,294442,32019761
276849,Eksport,2019,4,03048100,AU,171723,19049250
276852,Eksport,2019,4,03048100,DK,91597,5601532
276877,Eksport,2019,4,03048100,GB,136453,10607383
276970,Eksport,2019,4,03053910,DK,35284,803944
276981,Eksport,2019,4,03054100,CA,2360,227298
276983,Eksport,2019,4,03054100,DK,6453,424041
277012,Eksport,2019,4,03054300,CA,99412,15018050
299225,Eksport,2018,1,03021411,CA,232219,14415140
299678,Eksport,2018,1,03044100,DK,172998,17248623
299705,Eksport,2018,1,03044100,GB,86434,7754408
299719,Eksport,2018,1,03044200,AU,112,10097
299794,Eksport,2018,1,03048100,AU,119508,12907164
299796,Eksport,2018,1,03048100,CA,156770,19063280
299797,Eksport,2018,1,03048100,DK,49648,3020014
299814,Eksport,2018,1,03048100,GB,41567,3323361
299824,Eksport,2018,1,03048200,AU,17347,1510939
299825,Eksport,2018,1,03048200,CA,19068,2290596
299907,Eksport,2018,1,03053910,DK,26040,671183
299913,Eksport,2018,1,03054100,CA,9620,1491095
299914,Eksport,2018,1,03054100,DK,17007,721944
299940,Eksport,2018,1,03054300,CA,143573,21290817
300707,Eksport,2018,2,03054100,DK,3281,196014
300843,Eksport,2018,2,03021411,CA,200919,12828458
301039,Eksport,2018,2,03053910,DK,22000,603020
301063,Eksport,2018,2,03044100,DK,130381,14122291
301093,Eksport,2018,2,03044100,GB,165336,14943231
301105,Eksport,2018,2,03048100,AU,187500,19807712
301108,Eksport,2018,2,03048100,CA,31354,3812656
301109,Eksport,2018,2,03048100,DK,111573,6563254
301133,Eksport,2018,2,03048100,GB,10287,1378391
301177,Eksport,2018,2,03044200,AU,531,48261
301485,Eksport,2018,2,03054300,CA,33966,4686714
302335,Eksport,2018,5,03021411,CA,28905,2262681
302861,Eksport,2018,5,03044100,DK,198145,21947746
302893,Eksport,2018,5,03044100,GB,254410,23481033
302907,Eksport,2018,5,03044200,AU,668,70679
302991,Eksport,2018,5,03048100,AU,137142,13863473
302993,Eksport,2018,5,03048100,CA,21513,3209345
302995,Eksport,2018,5,03048100,DK,105088,7682059
303016,Eksport,2018,5,03048100,GB,80268,7301424
303024,Eksport,2018,5,03048200,AU,4702,553546
303025,Eksport,2018,5,03048200,CA,15217,2062174
303115,Eksport,2018,5,03053910,DK,709240,6160706
303122,Eksport,2018,5,03054100,CA,3240,502690
303123,Eksport,2018,5,03054100,DK,1358,98550
303147,Eksport,2018,5,03054300,CA,46583,6212735
303604,Eksport,2018,6,03021411,CA,48917,3342245
303702,Eksport,2018,3,03021411,CA,120976,8806747
304298,Eksport,2018,3,03044100,DK,186268,20808845
304329,Eksport,2018,3,03044100,GB,126105,11562113
304342,Eksport,2018,3,03044200,AU,359,36543
304428,Eksport,2018,3,03048100,AU,115077,12220925
304430,Eksport,2018,3,03048100,CA,25467,3474632
304432,Eksport,2018,3,03048100,DK,82329,5400084
304452,Eksport,2018,3,03048100,GB,46116,4265857
304460,Eksport,2018,3,03048200,CA,6413,989490
304559,Eksport,2018,3,03053910,DK,31652,695219
304566,Eksport,2018,3,03054100,CA,100,13865
304567,Eksport,2018,3,03054100,DK,5975,359770
304596,Eksport,2018,3,03054300,CA,48872,8032662
305165,Eksport,2018,4,03021411,CA,55452,4047251
305587,Eksport,2018,4,03044100,DK,149459,16505779
305612,Eksport,2018,4,03044100,GB,187428,16790325
305625,Eksport,2018,4,03044200,AU,663,67909
305627,Eksport,2018,4,03044200,CA,222,25163
305709,Eksport,2018,4,03048100,AU,179237,18480579
305711,Eksport,2018,4,03048100,DK,66840,5209522
305739,Eksport,2018,4,03048100,GB,49982,5553989
305748,Eksport,2018,4,03048200,AU,3038,357763
305829,Eksport,2018,4,03053910,DK,49017,1288071
305835,Eksport,2018,4,03054100,DK,8105,466695
305865,Eksport,2018,4,03054300,CA,400,65039
306778,Eksport,2018,6,03044100,AU,144,13200
306781,Eksport,2018,6,03044100,DK,179733,18723521
306808,Eksport,2018,6,03044100,GB,238950,21847652
306820,Eksport,2018,6,03044200,AU,687,72063
306899,Eksport,2018,6,03048100,AU,160545,16058781
306902,Eksport,2018,6,03048100,CA,31354,3812656
306903,Eksport,2018,6,03048100,DK,129210,9908399
306927,Eksport,2018,6,03048100,GB,49478,2178233
306936,Eksport,2018,6,03048200,AU,19548,1534594
306937,Eksport,2018,6,03048200,CA,62708,7357741
307023,Eksport,2018,6,03053910,DK,114000,1432303
307028,Eksport,2018,6,03054100,DK,8082,405069
307057,Eksport,2018,6,03054300,CA,17979,2774176
307521,Eksport,2018,9,03044100,AU,393,51112
307524,Eksport,2018,9,03044100,DK,149923,15223828
307554,Eksport,2018,9,03044100,GB,261035,22721215
307570,Eksport,2018,9,03044200,AU,540,53319
307661,Eksport,2018,9,03048100,AU,184486,19861904
307664,Eksport,2018,9,03048100,CA,30580,4265640
307665,Eksport,2018,9,03048100,DK,141972,8085536
307673,Eksport,2018,9,03048100,IE,46098,3948479
307691,Eksport,2018,9,03048100,GB,114954,6481221
307699,Eksport,2018,9,03048200,AU,1156,141977
307700,Eksport,2018,9,03048200,CA,2724,302374
307785,Eksport,2018,9,03053910,DK,1495443,14364374
307791,Eksport,2018,9,03054100,CA,2480,380309
307792,Eksport,2018,9,03054100,DK,10540,628703
307809,Eksport,2018,9,03054100,GB,2585,170682
307821,Eksport,2018,9,03054300,CA,66516,9145410
307822,Eksport,2018,9,03054300,DK,1440,68514
307827,Eksport,2018,9,03054300,GB,164,14554
308313,Eksport,2018,10,03021411,CA,74079,5021769
308860,Eksport,2018,10,03044100,DK,205439,19025850
308890,Eksport,2018,10,03044100,GB,261863,24089208
308906,Eksport,2018,10,03044200,AU,8798,826132
308908,Eksport,2018,10,03044200,CA,683,63333
308985,Eksport,2018,10,03048100,AU,219653,22851253
308987,Eksport,2018,10,03048100,CA,55389,5471673
308989,Eksport,2018,10,03048100,DK,127536,7968960
309018,Eksport,2018,10,03048100,GB,67647,5236939
309026,Eksport,2018,10,03048200,CA,9280,1030584
309124,Eksport,2018,10,03053910,DK,350626,4039820
309129,Eksport,2018,10,03054100,CA,5280,805601
309131,Eksport,2018,10,03054100,DK,9161,445614
309161,Eksport,2018,10,03054300,CA,102579,15559534
309162,Eksport,2018,10,03054300,DK,1440,77172
309695,Eksport,2018,11,03021411,CA,163513,10683645
310274,Eksport,2018,11,03044100,AU,1284,129968
310278,Eksport,2018,11,03044100,DK,283123,26543417
310307,Eksport,2018,11,03044100,GB,208535,19668283
310321,Eksport,2018,11,03044200,AU,542,54746
310323,Eksport,2018,11,03044200,CA,4913,475546
310409,Eksport,2018,11,03048100,AU,207842,21424238
310411,Eksport,2018,11,03048100,CA,59990,7882026
310413,Eksport,2018,11,03048100,DK,111295,6816850
310442,Eksport,2018,11,03048100,GB,11997,1601012
310453,Eksport,2018,11,03048200,AU,15763,1650904
310454,Eksport,2018,11,03048200,CA,11917,1258867
310555,Eksport,2018,11,03053910,DK,1130991,10946833
310562,Eksport,2018,11,03054100,CA,7550,633011
310564,Eksport,2018,11,03054100,DK,6042,461832
310588,Eksport,2018,11,03054100,GB,35,2378
310601,Eksport,2018,11,03054300,CA,129544,18842460
311161,Eksport,2018,12,03021411,CA,115947,7911356
311666,Eksport,2018,12,03044100,DK,249824,23662096
311699,Eksport,2018,12,03044100,GB,242175,25813894
311715,Eksport,2018,12,03044200,AU,542,57698
311791,Eksport,2018,12,03048100,AU,197900,21054084
311793,Eksport,2018,12,03048100,DK,19099,1766899
311816,Eksport,2018,12,03048100,GB,25034,2928934
311826,Eksport,2018,12,03048200,AU,504,63015
311827,Eksport,2018,12,03048200,CA,12338,1572794
311905,Eksport,2018,12,03054100,CA,80,13843
311906,Eksport,2018,12,03054100,DK,884,185614
311940,Eksport,2018,12,03054300,CA,70392,10613075
312435,Eksport,2019,1,03021411,CA,98368,6769602
312499,Eksport,2019,5,03021411,CA,14564,1232267
313029,Eksport,2019,5,03044100,DK,69985,8560847
313060,Eksport,2019,5,03044100,GB,225610,24890393
313074,Eksport,2019,5,03044200,AU,8600,815901
313156,Eksport,2019,5,03048100,AU,247439,27756163
313157,Eksport,2019,5,03048100,CA,38873,5036875
313158,Eksport,2019,5,03048100,DK,26450,2085668
313182,Eksport,2019,5,03048100,GB,64759,4429654
313192,Eksport,2019,5,03048200,CA,11000,799661
313292,Eksport,2019,5,03053910,DK,68000,1132328
313300,Eksport,2019,5,03054100,CA,976,165566
313301,Eksport,2019,5,03054100,DK,1891,153894
313328,Eksport,2019,5,03054300,CA,65751,10400923
313329,Eksport,2019,5,03054300,DK,70,6560
313818,Eksport,2019,6,03021411,CA,14781,1291953
314314,Eksport,2019,6,03044100,AU,31,4761
314317,Eksport,2019,6,03044100,DK,100387,10818280
314349,Eksport,2019,6,03044100,GB,317123,33173959
314364,Eksport,2019,6,03044200,AU,1000,94972
314458,Eksport,2019,6,03048100,AU,177622,20871309
314460,Eksport,2019,6,03048100,CA,20674,2311908
314461,Eksport,2019,6,03048100,DK,93284,6659441
314487,Eksport,2019,6,03048100,GB,67571,5096271
314494,Eksport,2019,6,03048200,AU,1430,175200
314495,Eksport,2019,6,03048200,CA,24930,3192167
314593,Eksport,2019,6,03053910,DK,72100,1030625
314601,Eksport,2019,6,03054100,DK,4100,329031
314603,Eksport,2019,6,03054100,IS,1409,209956
314624,Eksport,2019,6,03054300,CA,8490,1390196
315104,Eksport,2019,7,03021411,CA,29891,2064697
315572,Eksport,2019,7,03044100,DK,74805,8976631
315599,Eksport,2019,7,03044100,GB,289528,30080321
315695,Eksport,2019,7,03048100,AU,130312,14421603
315697,Eksport,2019,7,03048100,CA,20412,3223479
315699,Eksport,2019,7,03048100,DK,54550,3223930
315722,Eksport,2019,7,03048100,GB,94440,7864694
315732,Eksport,2019,7,03048200,CA,23707,2952225
315819,Eksport,2019,7,03053910,DK,7844,217212
315825,Eksport,2019,7,03054100,CA,15065,2471743
315827,Eksport,2019,7,03054100,DK,247,36381
315852,Eksport,2019,7,03054300,CA,81981,13004141
316631,Eksport,2019,8,03044100,DK,102084,11347156
316659,Eksport,2019,8,03044100,GB,163515,18012825
316675,Eksport,2019,8,03044200,AU,2810,266051
316677,Eksport,2019,8,03044200,CA,826,109877
316768,Eksport,2019,8,03048100,AU,157982,16555247
316770,Eksport,2019,8,03048100,CA,16980,2541772
316772,Eksport,2019,8,03048100,DK,36146,2434300
316796,Eksport,2019,8,03048100,GB,25372,1266567
316804,Eksport,2019,8,03048200,CA,20083,2483087
316896,Eksport,2019,8,03053910,DK,461220,4514031
316902,Eksport,2019,8,03054100,CA,1680,285103
316904,Eksport,2019,8,03054100,DK,13600,1337820
316925,Eksport,2019,8,03054300,CA,71921,9982385
316926,Eksport,2019,8,03054300,DK,2517,169154
317390,Eksport,2019,9,03021411,CA,68457,4054058
317934,Eksport,2019,9,03044100,DK,96023,10375652
317966,Eksport,2019,9,03044100,GB,138313,15623254
317979,Eksport,2019,9,03044200,AU,5000,420918
317981,Eksport,2019,9,03044200,CA,238,18891
318083,Eksport,2019,9,03048100,AU,310507,34089599
318086,Eksport,2019,9,03048100,CA,69107,8518668
318087,Eksport,2019,9,03048100,DK,65559,5315791
318113,Eksport,2019,9,03048100,GB,113303,9284455
318121,Eksport,2019,9,03048200,AU,504,59875
318122,Eksport,2019,9,03048200,CA,20162,2738421
318220,Eksport,2019,9,03053910,DK,1346930,11359489
318231,Eksport,2019,9,03054100,CA,100,19110
318233,Eksport,2019,9,03054100,DK,38,9597
318238,Eksport,2019,9,03054100,IS,456,55079
318258,Eksport,2019,9,03054100,GB,61,13911
318265,Eksport,2019,9,03054300,CA,83545,13104639
318266,Eksport,2019,9,03054300,DK,2688,154072
